athlete_id,playing_level,first_test_date,last_test_date,n_sessions,body_weight_bin,relative_strength,jump_height_(imp-mom)_[cm]_mean_cmj,lower-limb_stiffness_[n/m]_mean_cmj,peak_power_[w]_mean_cmj,peak_power_/_bm_[w/kg]_mean_cmj,eccentric_braking_rfd_[n/s]_mean_cmj,eccentric_duration_[ms]_mean_cmj,concentric_duration_[ms]_mean_cmj,rsi-modified_[m/s]_mean_cmj,countermovement_depth_[cm]_mean_cmj,"cmj_stiffness_asymmetry_[%_l,r]_mean_cmj","eccentric_deceleration_impulse_(asymmetry)_[%_l,r]_mean_cmj","p1_concentric_impulse_asymmetry_[%_l,r]_mean_cmj","p2_concentric_impulse_asymmetry_[%_l,r]_mean_cmj",concentric_peak_force_[n]_mean_cmj,eccentric_peak_force_[n]_mean_cmj,minimum_eccentric_force_[n]_mean_cmj,jump_height_(imp-mom)_[cm]_mean_sj,peak_power_[w]_mean_sj,peak_power_/_bm_[w/kg]_mean_sj,"p1_concentric_impulse_asymmetry_[%_l,r]_mean_sj","p2_concentric_impulse_asymmetry_[%_l,r]_mean_sj",peak_vertical_force_[n]_max_imtp,net_peak_vertical_force_[n]_max_imtp,force_at_100ms_[n]_max_imtp,force_at_150ms_[n]_max_imtp,force_at_200ms_[n]_max_imtp,best_active_stiffness_[n/m]_mean_ht,best_jump_height_(flight_time)_[cm]_mean_ht,best_rsi_(flight/contact_time)_mean_ht,best_rsi_(jump_height/contact_time)_[m/s]_mean_ht,peak_takeoff_force_[n]_mean_pp,peak_eccentric_force_[n]_mean_pp,"peak_takeoff_force_asymmetry_[%_l,r]_mean_pp","peak_eccentric_force_asymmetry_[%_l,r]_mean_pp",TSpineRomR,TSpineRomL,ShoulderERL,ShoulderERR,ShoulderIRL,ShoulderIRR
P-486F80E0,College,2020-02-12,2020-02-12,1,170-180 lbs,3.15,23.45,5415.16,3311.7,42.11,5282.67,420.0,289.25,0.38,-27.77,-0.07,-9.29,-7.85,12.46,1701.31,1618.55,113.93,22.63,3342.22,42.5,-1.96,1.58,3201.1,2427.16,825.1,1094.7,1540.9,62347.62,17.76,2.37,108.28,,,,,50.0,50.0,45.3,38.1,51.7,50.1
P-87BA4F44,College,2020-03-18,2020-06-09,2,200-210 lbs,4.845,48.555,4948.075,5859.93,64.16,6183.5,516.625,276.5,0.65,-40.46,-1.57,-11.65,1.695,-2.535,2247.535,2227.445,226.815,45.525,5858.415,64.125,-5.525,-0.915,5238.35,4345.745,1549.15,2132.35,2770.05,34349.53,28.965,2.645,154.285,,,,,63.0,64.0,66.65,58.45,75.1,71.2
P-88B04BF6,College,2020-03-30,2021-05-25,5,190-200 lbs,3.93,42.138,4974.108,5063.5,57.406,5973.99,516.0,290.65,0.59,-39.766,6.58,8.872,4.87,6.886,2140.204,2130.708,189.676,37.27,4789.538,54.302,13.284,4.246,4263.46,3399.064,1487.26,1928.26,2409.28,36155.816,36.694,2.632,171.41,,,,,72.8,67.8,49.44,53.48,53.88,66.06
P-0B820805,College,2020-05-01,2020-06-22,2,220-230 lbs,3.34,34.38,7385.605,5219.49,51.085,8709.19,468.125,257.75,0.49,-33.085,8.57,15.73,3.215,-8.75,2543.05,2540.815,98.67,28.33,4661.24,45.625,1.005,-3.16,4352.4,3349.915,1663.8,2031.6,2438.45,41287.435,25.8,2.2,121.695,,,,,58.0,55.5,50.45,52.6,44.45,41.1
P-0CF5992C,College,2020-05-08,2020-05-08,1,200-210 lbs,3.01,41.27,5817.96,5156.97,54.44,8341.29,468.75,304.75,0.66,-43.79,-1.33,-7.03,-1.68,0.11,2487.46,2543.34,-2.86,39.61,5226.18,55.17,-4.44,-5.77,3722.3,2795.57,1668.6,2057.7,2469.8,53700.31,33.15,2.62,165.41,,,,,63.0,61.0,53.0,54.7,77.1,73.5
P-52DBEF80,College,2020-05-25,2021-06-14,2,230-240 lbs,3.715,47.52,8285.95,6841.39,65.015,11670.04,442.25,251.375,0.855,-37.125,-6.38,-6.685,0.045,3.04,3037.42,3137.52,66.3,40.825,6067.885,57.67,6.285,5.375,4867.65,3837.805,2381.4,3274.1,3801.15,57804.96,37.285,2.63,177.93,,,,,53.5,59.0,61.05,66.7,71.3,73.05
P-C6E5BBA6,College,2020-05-31,2020-05-31,1,190-200 lbs,3.4,36.93,6420.98,4549.28,50.63,8333.1,400.75,283.75,0.56,-36.36,-5.09,0.8,-4.18,-13.44,2367.81,2384.59,51.72,35.54,4459.66,49.63,-1.48,-10.31,3875.4,2992.51,1466.5,1738.0,2233.1,54137.43,30.28,2.95,178.5,,,,,59.0,61.0,46.3,42.3,48.7,49.0
P-6786B32C,College,2020-06-01,2020-06-01,1,150-160 lbs,3.42,38.4,4227.86,3756.15,51.72,5290.67,491.0,286.5,0.52,-38.97,-7.43,-8.47,-6.62,-2.65,1755.09,1753.55,105.81,32.3,3403.41,46.86,-2.46,1.49,3149.2,2439.2,978.4,1197.8,1525.0,44239.66,31.83,2.81,169.54,,,,,62.0,60.0,45.5,45.5,48.7,49.6
P-186342A6,College,2020-06-02,2022-11-08,7,190-200 lbs,4.527,49.081,5511.986,5691.307,63.689,8423.641,476.227,278.549,0.7,-43.771,4.19,5.359,2.236,-3.559,2460.124,2469.763,66.88,41.72,5143.819,57.576,8.406,-3.047,4837.031,3962.489,1354.309,1654.283,2143.507,29288.82,27.623,2.376,135.784,1230.27,896.39,-11.23,-15.26,58.286,58.429,46.533,45.429,53.75,37.394
P-86BD4D8B,College,2020-06-02,2020-06-02,1,150-160 lbs,4.97,40.76,4614.97,4057.01,59.34,5849.27,431.25,273.0,0.6,-36.14,-6.23,-6.11,-11.76,-10.5,1716.14,1725.27,57.78,38.57,4200.8,61.44,-24.16,-7.51,4002.6,3333.69,1343.4,1818.1,2403.7,71104.2,35.8,3.16,201.54,,,,,54.0,61.0,35.9,36.9,51.9,54.2
P-04E536F8,College,2020-06-03,2020-06-03,1,180-190 lbs,3.44,42.32,4419.68,4613.94,54.68,5676.62,524.0,302.75,0.54,-45.18,-3.26,-3.84,-6.06,-6.06,2123.26,2125.09,127.38,34.35,4215.67,49.96,-6.29,-4.08,3670.1,2846.93,1261.9,1462.0,1709.9,33111.33,35.35,2.48,155.37,,,,,62.0,55.0,39.5,48.3,35.0,40.5
P-3FDCC715,College,2020-06-03,2020-06-03,1,210-220 lbs,2.93,45.63,6055.25,6236.91,64.55,8400.1,503.75,283.0,0.63,-42.38,-4.8,-1.89,-6.26,-19.69,2708.92,2727.78,162.32,41.25,5961.39,61.7,7.08,-10.31,3726.4,2780.94,1367.1,1831.9,2457.2,39437.13,28.84,2.37,141.85,,,,,60.0,60.0,45.0,59.0,54.3,58.1
P-F7FCA54C,College,2020-06-09,2020-06-09,1,190-200 lbs,4.31,46.02,5600.58,5847.45,65.81,5434.73,554.5,234.75,0.7,-35.76,-9.86,-0.98,-9.23,-13.09,2447.53,2428.93,419.62,39.71,5454.16,61.38,0.78,-8.97,4631.5,3759.98,1255.9,2207.1,3097.7,44987.6,33.4,2.92,183.73,,,,,46.0,52.0,56.7,65.0,72.8,65.3
P-1E78200A,College,2020-06-09,2020-06-09,1,190-200 lbs,3.56,45.53,8052.22,5429.3,61.69,10417.05,403.25,233.25,0.76,-31.07,10.11,23.38,5.77,-0.68,2576.72,2589.49,94.73,44.32,5321.68,60.47,16.16,-0.53,3929.7,3068.97,2109.7,2777.6,3132.8,35218.53,39.41,2.89,198.89,,,,,61.0,52.0,,66.3,,75.1
P-89E55738,College,2020-06-10,2020-11-27,3,180-190 lbs,4.733,52.517,4098.363,5670.173,67.973,4683.757,566.25,304.083,0.657,-44.337,-4.193,-6.493,-3.93,-2.66,2028.517,2003.793,192.693,47.573,5662.363,67.873,-5.32,-2.49,4688.203,3870.427,1084.477,1280.283,1495.733,57654.347,23.99,2.49,134.7,,,,,58.333,55.667,47.467,58.133,63.733,79.533
P-456FD6C2,College,2020-06-15,2022-06-14,2,200-210 lbs,2.965,43.195,6832.895,5364.525,58.025,9703.945,466.375,260.75,0.69,-34.835,0.3,1.3,-1.31,-6.615,2449.17,2473.685,96.28,39.15,5285.45,57.17,-0.305,-8.48,3588.255,2682.365,1822.76,2236.095,2550.96,44468.47,32.9,2.655,172.01,,,,,58.5,53.5,45.6,46.05,45.2,58.05
P-078B4753,College,2020-06-15,2020-06-15,1,190-200 lbs,2.91,41.72,4395.48,5003.99,55.86,5569.75,487.75,322.0,0.55,-48.09,-2.06,-8.55,0.36,-0.02,2175.56,2188.65,80.4,35.97,4854.76,54.19,-11.84,-1.1,3437.5,2556.18,1518.3,1844.3,2185.1,54055.63,30.04,3.15,188.7,,,,,67.0,63.0,53.9,50.8,59.8,53.1
