test_date,playing_level,bat_speed_mph_group,pitch_speed_mph_group,jump_height_(imp-mom)_[cm]_mean_cmj,lower-limb_stiffness_[n/m]_mean_cmj,peak_power_[w]_mean_cmj,peak_power_/_bm_[w/kg]_mean_cmj,eccentric_braking_rfd_[n/s]_mean_cmj,eccentric_duration_[ms]_mean_cmj,concentric_duration_[ms]_mean_cmj,rsi-modified_[m/s]_mean_cmj,countermovement_depth_[cm]_mean_cmj,"cmj_stiffness_asymmetry_[%_l,r]_mean_cmj","eccentric_deceleration_impulse_(asymmetry)_[%_l,r]_mean_cmj","p1_concentric_impulse_asymmetry_[%_l,r]_mean_cmj","p2_concentric_impulse_asymmetry_[%_l,r]_mean_cmj",concentric_peak_force_[n]_mean_cmj,eccentric_peak_force_[n]_mean_cmj,minimum_eccentric_force_[n]_mean_cmj,jump_height_(imp-mom)_[cm]_mean_sj,peak_power_[w]_mean_sj,peak_power_/_bm_[w/kg]_mean_sj,"p1_concentric_impulse_asymmetry_[%_l,r]_mean_sj","p2_concentric_impulse_asymmetry_[%_l,r]_mean_sj",peak_vertical_force_[n]_max_imtp,net_peak_vertical_force_[n]_max_imtp,force_at_100ms_[n]_max_imtp,force_at_150ms_[n]_max_imtp,force_at_200ms_[n]_max_imtp,best_active_stiffness_[n/m]_mean_ht,best_jump_height_(flight_time)_[cm]_mean_ht,best_rsi_(flight/contact_time)_mean_ht,best_rsi_(jump_height/contact_time)_[m/s]_mean_ht,peak_takeoff_force_[n]_mean_pp,peak_eccentric_force_[n]_mean_pp,"peak_takeoff_force_asymmetry_[%_l,r]_mean_pp","peak_eccentric_force_asymmetry_[%_l,r]_mean_pp",TSpineRomR,TSpineRomL,ShoulderERL,ShoulderERR,ShoulderIRL,ShoulderIRR,pitching_session_date,pitch_speed_mph,pitching_max_hss,hitting_session_date,bat_speed_mph,hitting_max_hss,relative_strength,body_weight_[lbs],athlete_uid,athlete_id,session_num
2021-09-28,College,<65,,40.19,5999.71,4970.38,57.06,7077.01,486.0,265.0,0.61,-33.14,11.44,8.24,10.44,16.31,2163.6,2154.31,203.49,35.19,4385.42,50.34,15.99,8.23,4013.7,3160.13,1444.9,1846.6,2292.7,37800.67,31.27,2.7,168.55,,,,,76.0,64.0,42.1,58.2,44.8,51.7,,,,2021-09-28,64.6,20.7,3.7,191.66,7f13a3ee-1114-47a0-97bd-15030a2c38c4,ATHLETE_0003,1
2021-11-10,College,<65,,38.69,5159.78,5070.99,56.42,5447.79,518.75,267.75,0.55,-32.4,10.92,14.61,12.42,18.85,2107.84,2027.58,357.2,32.39,4490.24,49.96,18.91,11.31,3918.2,3039.62,1369.9,1626.5,2113.6,37637.66,32.33,2.51,158.12,,,,,76.0,73.0,60.5,64.2,66.0,73.6,,,,2021-11-10,64.0,25.9,3.45,197.76,7f13a3ee-1114-47a0-97bd-15030a2c38c4,ATHLETE_0003,2
2022-04-28,College,65-70,,43.14,4353.8,5102.01,57.61,5673.46,535.75,316.5,0.59,-46.27,9.39,14.57,2.23,-3.03,2129.2,2148.96,138.87,40.77,5254.91,59.34,10.23,-1.63,4507.7,3641.48,1160.0,1362.0,1639.7,27630.83,43.11,2.67,180.93,,,,,70.0,70.0,48.5,51.5,69.7,88.3,,,,2022-04-21,68.3,25.6,4.19,194.85,7f13a3ee-1114-47a0-97bd-15030a2c38c4,ATHLETE_0003,3
2022-06-09,College,70+,,42.41,4422.43,4928.47,56.69,5220.08,541.75,310.0,0.54,-42.6,1.34,8.21,0.26,-4.31,2030.02,2035.71,152.73,36.16,4728.14,54.38,11.04,-2.49,4487.4,3625.89,1749.0,2408.3,3024.9,31326.05,37.49,2.53,163.86,,,,,66.0,67.0,54.1,53.4,42.2,78.9,,,,2022-06-13,70.5,33.0,4.25,191.29,7f13a3ee-1114-47a0-97bd-15030a2c38c4,ATHLETE_0003,4
2022-11-23,College,65-70,,46.26,4934.82,5245.65,59.25,6451.61,497.75,294.0,0.66,-44.42,-0.19,-1.27,-1.0,6.61,2270.36,2286.98,96.09,41.84,5088.98,57.49,10.25,5.81,4390.3,3528.2,1712.5,2397.9,2975.5,46383.87,39.27,2.75,185.59,,,,,76.0,65.0,42.0,40.1,46.7,37.8,,,,2022-11-28,68.0,32.5,4.06,194.77,7f13a3ee-1114-47a0-97bd-15030a2c38c4,ATHLETE_0003,5
2021-12-01,College,<65,,48.09,6168.39,6132.55,66.05,7522.29,472.25,256.75,0.68,-36.39,8.06,10.9,5.65,-1.45,2407.78,2387.12,144.29,41.88,5397.35,58.13,6.82,-0.21,4162.3,3254.4,1175.4,1470.9,1836.6,73046.86,33.03,2.21,133.26,,,,,51.0,55.0,49.7,48.9,58.5,47.8,,,,2021-12-01,63.3,27.6,3.57,204.27,eee4be93-7658-4a8a-85ef-9dc8c80a0fe9,ATHLETE_0009,1
2022-08-10,College,65-70,,48.0,5432.13,5959.92,64.01,7106.16,494.67,287.67,0.64,-41.13,8.11,14.88,6.01,-6.11,2359.02,2355.37,122.32,38.96,5279.5,56.7,14.25,-9.97,4472.3,3566.85,1332.9,1509.5,1904.2,32677.28,29.55,2.25,131.1,,,,,61.0,60.0,42.4,45.4,36.0,36.1,,,,2022-08-09,65.6,21.3,3.91,204.84,eee4be93-7658-4a8a-85ef-9dc8c80a0fe9,ATHLETE_0009,2
2022-12-06,College,65-70,,51.6,5303.53,5658.09,65.98,8780.32,485.5,268.0,0.76,-44.77,8.61,10.7,3.92,-3.78,2440.48,2442.59,72.01,46.29,5210.07,60.76,11.36,-2.24,5019.4,4181.52,1023.5,1270.2,1715.1,24837.28,26.96,2.52,140.32,,,,,53.0,57.0,39.2,37.3,51.5,44.6,,,,2022-12-08,67.9,29.4,4.97,188.65,eee4be93-7658-4a8a-85ef-9dc8c80a0fe9,ATHLETE_0009,3
2023-05-31,College,,85-90,51.36,5157.47,5393.47,64.54,8332.21,474.75,288.25,0.72,-47.1,2.23,0.56,1.97,-0.87,2439.98,2468.5,37.05,42.66,4800.83,57.45,9.06,-2.12,4275.9,3456.46,1112.9,1383.1,1833.0,0.0,26.51,2.42,136.31,,,,,65.0,77.0,50.5,50.7,71.0,48.5,2023-06-01,85.9,47.4,,,,4.22,183.85,eee4be93-7658-4a8a-85ef-9dc8c80a0fe9,ATHLETE_0009,4
2023-07-20,College,70+,,47.74,5631.15,5525.51,59.83,9207.91,475.75,283.25,0.7,-45.83,2.05,2.38,0.3,-3.33,2596.67,2623.25,43.43,39.07,4979.44,53.91,7.36,-2.32,5180.2,4280.93,1562.8,1862.9,2387.1,42458.5,24.06,2.39,130.92,,,,,63.0,52.0,52.1,42.1,56.1,4.26,,,,2023-07-26,72.6,25.2,4.73,203.19,eee4be93-7658-4a8a-85ef-9dc8c80a0fe9,ATHLETE_0009,5
2023-12-19,College,70+,85-90,51.29,5460.39,5936.45,66.97,8382.64,453.0,272.25,0.76,-43.63,1.64,0.48,0.51,-3.48,2395.97,2406.03,22.78,44.61,5363.4,60.51,6.45,-3.32,5246.22,4374.6,1484.06,1787.48,2347.25,32001.82,27.08,2.46,143.53,,,,,56.0,53.0,45.3,48.1,49.4,39.4,2023-12-19,88.5,42.2,2023-12-20,70.7,17.9,5.03,195.01,eee4be93-7658-4a8a-85ef-9dc8c80a0fe9,ATHLETE_0009,6
2024-05-08,College,70+,,45.49,5430.84,5233.16,58.44,9633.96,477.67,293.67,0.64,-47.55,-1.37,-2.39,-2.71,-5.89,2580.97,2605.48,26.28,38.57,4976.14,55.57,3.54,-1.15,5502.9,4622.66,1788.6,2295.9,2981.3,0.0,26.17,2.38,135.05,1230.27,896.39,-11.23,-15.26,59.0,55.0,,45.5,,41.1,,,,2024-05-06,70.1,23.1,5.26,197.01,eee4be93-7658-4a8a-85ef-9dc8c80a0fe9,ATHLETE_0009,7
2021-12-09,College,65-70,,51.85,3747.38,5480.51,65.4,4303.11,581.25,317.5,0.59,-45.72,-2.63,0.01,-3.95,-2.48,1963.06,1929.52,216.52,48.52,5591.45,66.73,-4.72,0.08,4524.5,3704.17,966.2,1173.1,1263.0,57557.06,23.86,2.55,137.65,,,,,59.0,54.0,44.0,47.4,45.6,58.7,,,,2021-12-13,66.4,14.0,4.51,184.36,a07c720f-ef87-48d8-9076-b133b00f5c45,ATHLETE_0015,1
2022-04-14,College,65-70,,52.59,3838.3,5703.34,68.3,4088.53,599.5,308.25,0.66,-44.88,-2.61,-12.71,-4.15,-0.3,2000.05,1955.13,232.92,47.23,5682.37,68.04,-6.85,-1.22,4641.81,3824.13,1412.63,1751.05,2230.0,54570.29,23.73,2.48,131.1,,,,,60.0,58.0,50.8,66.1,66.7,84.8,,,,2022-04-07,66.5,14.2,4.67,183.72,a07c720f-ef87-48d8-9076-b133b00f5c45,ATHLETE_0015,2
2022-05-28,College,65-70,,53.11,4709.41,5826.67,70.22,5659.63,518.0,286.5,0.72,-42.41,-7.34,-6.78,-3.69,-5.2,2122.44,2126.73,128.64,46.97,5713.27,68.85,-4.39,-6.33,4898.3,4082.98,874.6,916.7,994.2,60835.69,24.38,2.44,135.35,,,,,56.0,55.0,47.6,60.9,78.9,95.1,,,,2022-05-19,68.1,23.8,5.02,182.56,a07c720f-ef87-48d8-9076-b133b00f5c45,ATHLETE_0015,3
2021-12-15,College,<65,,36.46,5805.27,4291.17,55.8,6197.64,458.75,226.75,0.58,-29.55,4.17,4.75,3.91,9.65,2013.42,1902.93,175.44,34.54,4029.58,52.4,-0.14,7.86,3296.2,2541.09,1197.2,1399.2,1605.6,28360.54,25.49,2.27,120.91,,,,,58.0,42.0,24.1,28.5,30.7,27.7,,,,2021-12-14,63.1,24.2,3.37,169.18,69163ea4-6fb3-419d-8cf9-fcbf50166381,ATHLETE_0020,1
2022-05-11,College,<65,,37.97,6418.65,4373.74,56.32,8303.26,425.5,223.25,0.64,-30.88,4.18,8.82,4.48,6.16,2068.01,2053.05,71.54,38.43,4127.78,53.15,7.88,4.33,3351.25,2591.53,1043.74,1155.33,1345.33,34137.42,26.39,2.55,144.14,,,,,62.0,48.0,41.9,44.3,37.1,53.0,,,,2022-05-10,64.7,21.3,3.4,170.85,69163ea4-6fb3-419d-8cf9-fcbf50166381,ATHLETE_0020,2
2022-06-23,College,<65,,40.74,7531.82,4850.02,61.14,9490.03,398.75,211.75,0.68,-28.36,4.35,7.06,5.46,12.26,2231.17,2196.33,63.38,36.52,4272.16,53.86,8.2,7.99,3612.3,2827.57,1167.6,1272.9,1416.1,30958.08,25.6,2.35,127.92,,,,,66.0,60.0,31.5,32.7,41.3,39.7,,,,2022-06-21,64.4,19.4,3.64,174.5,69163ea4-6fb3-419d-8cf9-fcbf50166381,ATHLETE_0020,3
2022-07-27,College,<65,,39.43,7555.38,4801.2,59.36,9292.65,419.25,210.5,0.66,-29.63,3.27,10.05,4.5,8.15,2322.0,2307.18,70.43,38.34,4458.21,55.12,6.01,7.31,3519.9,2727.62,1138.9,1172.4,1244.9,36544.42,22.77,2.41,128.0,,,,,54.0,52.0,32.4,30.0,37.3,28.3,,,,2022-07-21,64.6,21.9,3.44,177.96,69163ea4-6fb3-419d-8cf9-fcbf50166381,ATHLETE_0020,4
2021-12-29,College,<65,,33.39,3416.96,3494.3,48.38,3492.45,629.0,291.5,0.37,-37.84,3.61,12.83,1.51,-8.51,1625.51,1589.09,292.25,31.13,3541.17,49.03,2.23,-7.41,3584.6,2872.83,1130.5,1576.7,2090.4,40629.7,18.19,2.13,98.52,,,,,51.0,55.0,35.2,41.8,29.2,31.7,,,,2021-12-28,58.3,23.7,4.06,158.91,86e2a7a9-3392-4a49-8d1f-30a71c7fd288,ATHLETE_0032,1
2022-05-31,College,<65,,39.59,4793.05,3904.02,54.39,6466.78,486.0,259.75,0.52,-36.9,13.81,21.2,9.63,4.03,1908.5,1900.61,134.02,34.89,3853.76,53.69,14.47,2.65,3710.1,3006.18,1828.1,2446.0,2592.8,43339.5,26.51,2.7,151.73,,,,,56.0,65.0,47.9,43.9,33.0,32.8,,,,2022-05-30,59.6,26.6,4.27,157.92,86e2a7a9-3392-4a49-8d1f-30a71c7fd288,ATHLETE_0032,2
2022-07-20,College,<65,,39.79,4831.34,3892.87,54.67,6748.34,458.0,267.0,0.53,-36.72,8.08,17.07,4.37,3.11,1834.09,1830.09,55.84,35.65,3813.96,53.56,15.25,3.64,3799.4,3102.64,1606.3,2335.1,2650.5,300671.09,21.62,2.58,125.64,,,,,47.0,59.0,45.0,37.8,30.0,57.3,,,,2022-07-15,59.7,25.8,4.44,156.66,86e2a7a9-3392-4a49-8d1f-30a71c7fd288,ATHLETE_0032,3
2022-09-07,College,<65,,37.92,3781.61,3647.29,53.14,4632.85,523.5,285.5,0.46,-37.61,11.56,20.24,10.42,7.72,1582.13,1562.54,141.67,34.62,3679.41,53.61,12.72,7.81,3801.2,3128.76,1683.0,2159.0,2478.7,20446.9,26.39,2.68,145.83,,,,,49.0,50.0,32.8,35.9,36.2,48.3,,,,2022-09-02,60.1,23.2,4.65,151.01,86e2a7a9-3392-4a49-8d1f-30a71c7fd288,ATHLETE_0032,4
2022-10-27,College,<65,,37.01,4593.81,3631.58,51.69,6258.0,513.0,260.75,0.48,-35.36,11.62,21.76,7.83,3.83,1755.13,1739.42,115.17,33.01,3662.12,52.13,20.12,-2.06,3517.1,2827.4,1933.7,2484.0,2656.9,51149.99,19.81,2.56,134.79,,,,,53.0,49.0,37.8,40.1,35.9,50.2,,,,2022-10-20,60.4,19.5,4.1,154.55,86e2a7a9-3392-4a49-8d1f-30a71c7fd288,ATHLETE_0032,5
2022-12-08,College,<65,,39.25,3735.39,3866.44,54.0,4202.98,574.5,275.5,0.47,-35.98,9.6,23.04,12.19,6.24,1671.35,1574.2,233.75,35.89,3947.3,55.12,20.0,4.65,3832.3,3134.75,1364.0,2037.0,2386.5,107863.25,24.71,2.92,146.59,,,,,55.0,51.0,35.4,44.6,34.2,48.9,,,,2022-11-28,59.8,28.5,4.46,157.54,86e2a7a9-3392-4a49-8d1f-30a71c7fd288,ATHLETE_0032,6
2023-05-23,College,<65,,39.11,4814.01,3634.84,53.24,6418.33,462.25,260.25,0.54,-35.07,9.85,16.23,6.75,2.37,1777.68,1767.58,79.93,34.86,3684.98,53.98,27.15,0.27,3496.12,2825.15,1073.12,1626.35,2069.26,65210.53,25.27,3.24,177.66,,,,,51.0,53.0,42.9,45.6,30.5,49.2,,,,2023-05-22,60.4,33.1,4.22,150.19,86e2a7a9-3392-4a49-8d1f-30a71c7fd288,ATHLETE_0032,7
2023-10-25,College,<65,,31.73,5211.86,3484.74,48.55,7183.51,452.5,267.25,0.46,-34.12,19.52,12.6,19.12,32.29,1825.04,1820.35,46.62,28.12,3502.09,48.79,16.44,22.27,3700.3,2998.44,1417.3,1910.0,2097.7,55101.29,21.93,2.53,132.97,,,,,,,,,,,,,,2023-10-23,57.0,31.4,4.26,157.92,86e2a7a9-3392-4a49-8d1f-30a71c7fd288,ATHLETE_0032,8
2024-01-19,College,<65,,39.54,5769.78,4214.57,53.79,7636.79,487.0,253.0,0.54,-34.12,12.8,22.44,9.35,1.43,2086.41,2081.17,113.66,34.14,4263.6,54.42,32.44,5.89,4080.2,3325.77,1827.8,2164.3,2373.4,49593.29,21.21,2.69,139.5,,,,,58.0,58.0,43.2,53.7,35.4,49.9,,,,2024-01-09,62.2,22.1,4.33,172.37,86e2a7a9-3392-4a49-8d1f-30a71c7fd288,ATHLETE_0032,9
2021-12-30,College,70+,,49.37,6352.12,6122.71,61.74,9906.17,463.0,292.0,0.72,-42.86,-0.73,-1.3,1.61,-3.57,2741.86,2791.13,70.55,42.78,5602.54,56.49,5.53,-2.69,4979.6,4000.99,1588.4,2155.5,2966.1,43760.09,31.61,2.47,152.45,,,,,60.0,57.0,62.8,59.2,86.4,81.8,,,,2021-12-30,72.5,11.9,4.11,218.17,db4ba4a5-8579-4ebf-bd2a-dab783d30184,ATHLETE_0033,1
