athlete_id,athlete_uid,anon_id,playing_level
ATHLETE_0001,e2fbb235-2e9e-43e1-9f01-c07a09ef569c,P-486F80E0,College
ATHLETE_0002,7d871165-426e-4278-aabb-48c2b613d2dd,P-87BA4F44,College
ATHLETE_0003,7f13a3ee-1114-47a0-97bd-15030a2c38c4,P-88B04BF6,College
ATHLETE_0004,7a1022d7-3af0-47f3-a4d4-d8b010a36521,P-0B820805,College
ATHLETE_0005,b317d078-9624-4e86-a68d-e39d43ebd990,P-0CF5992C,College
ATHLETE_0006,749913c7-ed31-4de9-92a9-ba22ad4f02e8,P-52DBEF80,College
ATHLETE_0007,6fd1e40e-139b-4778-8b7f-805de73c4cd7,P-C6E5BBA6,College
ATHLETE_0008,85bc7520-a253-4f12-b1e9-345a8a82bbae,P-6786B32C,College
ATHLETE_0009,eee4be93-7658-4a8a-85ef-9dc8c80a0fe9,P-186342A6,College
ATHLETE_0010,fb1c936a-98d4-498e-90e1-2d7dc6ca8aa5,P-86BD4D8B,College
ATHLETE_0011,367fa660-b249-4e30-a569-af26bb2474d9,P-04E536F8,College
ATHLETE_0012,dbcbe7c4-c313-410a-ac5d-9f50947d29ff,P-3FDCC715,College
ATHLETE_0013,454a4b07-a725-47a9-a396-b9b8377755da,P-F7FCA54C,College
ATHLETE_0014,74820c97-bef1-45ff-b74b-88cc8b44c28c,P-1E78200A,College
ATHLETE_0015,a07c720f-ef87-48d8-9076-b133b00f5c45,P-89E55738,College
ATHLETE_0016,4cb1e703-cec0-4d5b-b376-67b4f55e5480,P-456FD6C2,College
ATHLETE_0017,9cbbc585-b4b9-45de-bae8-ef4aa1faa464,P-078B4753,College
ATHLETE_0018,bd171582-042c-4f40-9d40-87d7747e9eb0,P-6973F0A1,College
ATHLETE_0019,03b97616-e8c6-4041-8fbe-0a92f1bcf6ee,P-C44E3342,College
ATHLETE_0020,69163ea4-6fb3-419d-8cf9-fcbf50166381,P-E7942F57,College
ATHLETE_0021,b9782032-5297-49f3-b8b5-6f72f5076ee9,P-5BA7E99A,College
ATHLETE_0022,d764a59e-50d8-44a4-a789-11063a0ac742,P-6FDA551B,College
ATHLETE_0023,6d0aa70a-8e60-494a-a89b-90235b417be0,P-78F3096D,College
ATHLETE_0024,678a02b5-6f57-4ae9-b6b9-f6e2a89109c8,P-70DA4C64,College
ATHLETE_0025,9cb0fcae-7717-4b3e-b84c-8eb78a50b647,P-F4CF0272,College
ATHLETE_0026,8b46b19d-e0b4-44f2-8b24-e62fa0b1161c,P-41B81702,College
ATHLETE_0027,3a0315d9-8fc3-4389-b396-e79204ab74b9,P-623C153C,College
ATHLETE_0028,5c48e61e-946c-4699-a184-bc226639d9c7,P-E0C16D66,College
ATHLETE_0029,540e4e89-51bc-4d11-9c47-cc220507e3c3,P-93370D4F,College
ATHLETE_0030,2ebec835-2245-4a9c-a82c-f39e2bf76795,P-404A5717,College
ATHLETE_0031,79bc1f99-b653-48aa-a698-308908dcbf1e,P-9D0412FA,College
ATHLETE_0032,86e2a7a9-3392-4a49-8d1f-30a71c7fd288,P-F257ED7B,College
ATHLETE_0033,db4ba4a5-8579-4ebf-bd2a-dab783d30184,P-639381F3,College
ATHLETE_0034,8f5291fb-869f-4460-bd67-49224d7f0aff,P-68CD5BCD,College
ATHLETE_0035,a4a5f303-b725-408b-9d95-21d1c3c8f65d,P-463FDDF6,College
ATHLETE_0036,9446e1c4-9f45-4818-89d8-d1424cc3c5de,P-441275FD,College
ATHLETE_0037,7c4e568b-717d-4c48-9dae-3e642139386c,P-F755F8B1,College
ATHLETE_0038,aacd7d33-24c9-43de-a488-d5af669ca279,P-F33009F1,College
ATHLETE_0039,c1787421-dc4d-4980-a64a-119ecd26d49a,P-3260F6AD,College
ATHLETE_0040,f48a6e85-95dc-4737-931d-296867fe0fec,P-9F9A1670,College
ATHLETE_0041,a1bcd1fb-ff87-4719-98ef-4a87765a891b,P-D9B46E80,College
ATHLETE_0042,cf50cb73-996c-4a79-ab4f-c133d7a0737d,P-131B01C5,College
