athlete_id,playing_level,n_sessions,days_span,jump_height_(imp-mom)_[cm]_mean_cmj_change,jump_height_(imp-mom)_[cm]_mean_cmj_pct_change,rsi-modified_[m/s]_mean_cmj_change,rsi-modified_[m/s]_mean_cmj_pct_change,peak_power_/_bm_[w/kg]_mean_cmj_change,peak_power_/_bm_[w/kg]_mean_cmj_pct_change,eccentric_braking_rfd_[n/s]_mean_cmj_change,eccentric_braking_rfd_[n/s]_mean_cmj_pct_change
ATHLETE_0003,College,5,421,6.07,15.1,0.05,8.2,2.19,3.84,-625.4,-8.84
ATHLETE_0009,College,7,889,-2.6,-5.41,-0.04,-5.88,-7.61,-11.52,2111.67,28.07
ATHLETE_0015,College,3,170,1.26,2.43,0.13,22.03,4.82,7.37,1356.52,31.52
ATHLETE_0020,College,4,224,2.97,8.15,0.08,13.79,3.56,6.38,3095.01,49.94
ATHLETE_0032,College,9,751,6.15,18.42,0.17,45.95,5.41,11.18,4144.34,118.67
ATHLETE_0033,College,3,735,-2.42,-4.9,-0.08,-11.11,-1.72,-2.79,-1037.89,-10.48
ATHLETE_0034,College,3,729,4.25,10.2,0.05,7.04,0.62,1.0,2051.88,26.69
ATHLETE_0037,College,5,722,2.18,4.51,0.0,0.0,0.8,1.26,461.23,5.13
ATHLETE_0038,College,4,394,1.74,3.7,0.06,8.82,1.58,2.48,65.82,0.8
ATHLETE_0041,College,3,343,4.07,11.5,0.11,22.0,5.03,10.52,3689.74,51.3
ATHLETE_0042,College,4,679,3.07,8.43,0.13,30.95,5.59,11.2,2465.14,59.9
ATHLETE_0048,College,5,809,3.13,7.62,0.31,58.49,2.99,5.28,3592.9,63.21
ATHLETE_0051,College,6,735,-6.86,-16.7,-0.01,-1.92,-1.26,-2.36,1717.68,31.4
ATHLETE_0054,College,3,87,-0.75,-1.62,-0.02,-3.17,-1.78,-2.67,-721.12,-11.75
ATHLETE_0058,College,3,72,1.73,3.62,0.02,2.35,-2.75,-4.13,336.44,3.12
ATHLETE_0059,College,6,727,4.98,10.86,0.22,32.84,8.4,13.1,3754.81,60.44
ATHLETE_0065,College,3,352,1.9,6.03,-0.07,-12.73,-0.02,-0.04,-253.11,-3.35
ATHLETE_0066,College,5,441,2.94,7.8,-0.03,-4.35,-0.13,-0.23,-1062.44,-10.21
ATHLETE_0068,College,6,594,2.75,5.91,0.07,10.29,2.96,4.57,1887.33,20.96
ATHLETE_0070,College,3,414,-1.25,-3.1,0.01,1.85,-3.19,-5.79,-351.75,-5.29
ATHLETE_0080,College,3,450,5.06,14.82,0.07,12.73,7.68,16.67,-213.68,-3.0
ATHLETE_0085,College,3,586,-3.88,-9.55,0.03,5.45,-3.88,-7.8,799.22,10.68
ATHLETE_0088,College,4,315,3.46,7.07,0.03,4.11,1.85,2.96,-331.58,-3.53
ATHLETE_0089,College,3,569,-1.72,-3.68,-0.07,-10.29,-3.18,-5.33,-1640.27,-14.13
ATHLETE_0094,College,7,784,-8.02,-16.24,0.06,10.0,-2.82,-4.72,3617.97,71.87
ATHLETE_0099,College,3,401,-5.28,-11.57,0.04,7.27,-8.2,-12.97,2014.74,51.3
ATHLETE_0100,College,3,194,-0.21,-0.54,0.05,10.2,0.46,0.85,1060.68,21.93
ATHLETE_0102,College,3,142,4.1,9.05,0.05,7.35,2.78,5.17,1776.79,20.58
ATHLETE_0110,College,6,647,3.04,8.12,0.03,6.25,-1.54,-2.87,1051.52,17.85
ATHLETE_0122,College,5,253,6.55,16.62,0.24,68.57,6.86,12.49,4710.49,281.87
ATHLETE_0124,College,3,367,3.12,7.43,0.31,75.61,-0.15,-0.24,9398.07,402.75
ATHLETE_0127,College,3,329,-4.54,-11.02,-0.01,-1.85,-5.14,-9.25,-471.29,-7.66
ATHLETE_0131,College,4,393,4.69,12.15,0.17,28.33,2.69,4.24,2369.11,24.04
ATHLETE_0134,College,3,388,-1.16,-2.23,0.15,23.44,2.78,4.06,2619.26,54.82
ATHLETE_0135,College,3,387,-3.6,-7.74,0.02,2.7,-2.43,-3.8,2171.49,24.99
ATHLETE_0138,College,7,567,2.92,8.2,0.01,2.04,-1.24,-2.44,1858.94,36.99
ATHLETE_0142,College,3,84,-1.22,-3.43,0.01,1.82,-0.3,-0.57,759.54,8.61
ATHLETE_0146,College,3,93,0.86,1.83,0.04,6.35,-1.0,-1.54,1207.36,16.16
ATHLETE_0147,College,3,86,,,,,,,,
ATHLETE_0149,College,3,128,-1.2,-2.69,0.05,8.33,-1.02,-1.68,77.77,0.88
ATHLETE_0153,College,5,537,,,,,,,,
ATHLETE_0154,College,4,392,3.15,9.09,0.05,8.77,1.92,3.66,-872.16,-10.04
ATHLETE_0155,College,6,376,1.29,2.91,-0.01,-1.61,-1.43,-2.52,-187.41,-2.63
ATHLETE_0163,College,4,364,6.28,18.5,0.14,28.0,4.9,9.77,1286.46,18.18
ATHLETE_0168,College,3,350,4.23,13.56,0.14,45.16,3.99,8.82,2499.89,69.6
ATHLETE_0180,College,3,434,10.42,21.33,0.3,52.63,6.85,10.08,1507.86,28.53
ATHLETE_0181,College,3,350,-0.56,-1.37,-0.04,-5.56,-2.38,-3.94,-872.0,-7.86
ATHLETE_0182,College,5,349,1.63,4.2,0.08,18.6,3.83,7.39,978.79,21.82
ATHLETE_0183,College,4,169,2.54,5.41,0.01,1.54,0.01,0.02,1968.15,33.13
ATHLETE_0186,College,3,196,10.12,25.36,0.17,28.81,6.48,10.43,1356.3,19.3
ATHLETE_0189,College,6,395,5.34,11.66,0.25,48.08,10.43,17.08,2383.22,62.92
ATHLETE_0192,College,3,79,,,,,,,,
ATHLETE_0205,College,3,197,-1.47,-3.1,0.05,7.69,0.75,1.2,991.68,11.02
ATHLETE_0209,College,3,350,-3.55,-7.01,0.03,4.05,-2.16,-3.28,1270.41,17.62
ATHLETE_0216,College,4,392,-4.1,-7.2,-0.02,-2.41,-8.91,-11.31,1340.16,22.44
ATHLETE_0220,College,3,49,1.12,2.45,0.01,1.28,3.97,6.05,441.92,4.21
ATHLETE_0224,College,3,111,5.73,16.78,0.07,13.46,3.26,5.78,2783.94,52.16
ATHLETE_0227,College,3,196,-1.4,-3.07,0.01,1.59,0.92,1.51,-89.61,-1.33
ATHLETE_0230,College,4,414,-7.76,-15.78,-0.06,-8.0,-4.54,-7.42,3126.09,34.19
ATHLETE_0236,College,7,288,1.91,3.57,0.09,12.86,-1.92,-2.87,1.8,0.02
ATHLETE_0239,College,3,171,0.8,2.04,-0.04,-6.15,-3.08,-5.42,-1743.97,-17.71
ATHLETE_0249,College,3,175,7.84,20.21,0.05,8.93,-0.66,-1.2,880.37,11.35
ATHLETE_0252,College,4,164,0.81,1.41,0.16,19.05,1.33,1.77,934.07,13.23
ATHLETE_0253,College,3,379,2.84,9.41,0.03,5.77,3.15,7.07,1137.54,15.38
ATHLETE_0263,College,5,231,4.21,10.53,0.06,10.91,4.17,8.04,106.99,1.35
ATHLETE_0265,College,3,157,7.45,14.0,0.04,5.19,4.58,6.9,-282.83,-3.21
ATHLETE_0276,College,3,361,0.03,0.07,0.01,1.56,4.23,6.9,-473.28,-8.45
ATHLETE_0277,College,3,161,-1.61,-3.69,0.03,4.55,-1.26,-2.09,642.07,8.15
ATHLETE_0281,College,3,147,0.13,0.32,0.03,4.92,-1.67,-2.84,254.93,2.1
ATHLETE_0283,College,3,357,-3.41,-6.31,-0.11,-13.75,-3.25,-4.85,-82.97,-1.04
ATHLETE_0306,College,3,323,-2.22,-4.9,0.03,4.55,-2.49,-3.86,967.86,22.2
ATHLETE_0310,College,5,213,3.59,11.66,0.05,9.8,2.78,5.69,-683.43,-8.46
ATHLETE_0314,College,4,351,2.75,5.82,0.08,12.31,2.49,4.37,1492.87,19.81
ATHLETE_0316,College,3,252,-1.01,-2.51,0.17,32.69,1.13,2.04,2584.54,42.9
ATHLETE_0317,College,3,175,-3.96,-8.92,-0.1,-16.95,-4.59,-7.65,-586.75,-8.25
ATHLETE_0319,College,3,265,-1.94,-4.19,0.07,12.96,0.88,1.52,3514.39,63.58
ATHLETE_0320,College,3,177,1.38,3.23,0.03,4.69,3.28,5.59,714.76,10.92
ATHLETE_0324,College,3,162,0.78,1.55,-0.01,-1.3,-2.49,-3.99,-3448.12,-29.33
ATHLETE_0332,College,3,258,-0.66,-2.35,-0.01,-2.17,-1.78,-3.85,-642.7,-13.52
ATHLETE_0333,College,3,157,,,,,,,,
ATHLETE_0334,College,4,176,-8.89,-17.23,-0.04,-5.97,-8.39,-12.62,52.06,0.72
ATHLETE_0335,College,3,266,-1.01,-2.94,0.05,11.11,-0.34,-0.66,661.93,16.69
ATHLETE_0340,College,3,223,0.12,0.23,0.28,49.12,4.41,6.95,3538.86,80.26
ATHLETE_0367,College,3,94,1.6,3.76,0.17,34.0,0.65,1.23,3160.07,81.52
ATHLETE_0368,College,3,51,4.79,9.9,0.03,4.17,-0.83,-1.2,-49.93,-0.74
ATHLETE_0373,College,4,138,1.04,3.06,0.02,3.77,1.76,3.84,2216.56,32.88
ATHLETE_0377,College,3,84,-0.82,-2.07,0.03,5.88,-0.95,-1.7,657.65,12.13
ATHLETE_0391,College,3,85,-1.07,-2.37,-0.08,-12.12,0.82,1.45,-122.83,-1.96
ATHLETE_0396,College,3,36,,,,,,,,
ATHLETE_0398,College,3,81,-0.26,-0.77,0.05,10.2,2.65,5.59,1080.11,15.11
ATHLETE_0401,College,3,83,0.95,2.69,0.02,4.26,0.64,1.37,-253.08,-5.27
ATHLETE_0469,College,3,37,,,,,,,,
ATHLETE_0511,High School,6,817,8.44,19.59,0.08,13.56,6.77,11.65,1986.6,66.92
ATHLETE_0512,High School,6,772,6.94,18.34,0.27,57.45,5.72,10.27,2518.99,46.56
ATHLETE_0513,High School,3,301,2.2,7.13,0.07,18.92,4.42,10.24,591.28,18.45
ATHLETE_0525,High School,4,518,3.92,9.15,0.04,5.88,2.44,4.42,1972.22,28.57
ATHLETE_0530,High School,3,288,-0.88,-1.8,0.05,7.69,-4.16,-6.31,2250.72,41.04
ATHLETE_0534,High School,3,198,6.54,16.96,0.06,11.11,4.93,8.85,874.71,13.22
ATHLETE_0539,High School,10,562,9.58,41.28,0.22,104.76,8.98,25.2,4753.34,309.62
